Year,Round,Team 1,Team 1 Wins,Team 2,Team 2 Wins,Winner,Team 1_FG_PCT,Team 1_FG3_PCT,Team 1_PTS,Team 1_WinPCT,Team 2_FG_PCT,Team 2_FG3_PCT,Team 2_PTS,Team 2_WinPCT,Team 1_SRS,Team 2_SRS
2016,ECS,Toronto Raptors,4,Miami Heat,3,Toronto Raptors,0.451,0.37,8422,0.683,0.47,0.336,8204,0.585,4.08,1.50
2016,WCS,Golden State Warriors,4,Portland Trail Blazers,1,Golden State Warriors,0.487,0.416,9421,0.89,0.45,0.37,8622,0.537,10.38,0.98
2016,WCS,Oklahoma City Thunder,4,San Antonio Spurs,2,Oklahoma City Thunder,0.476,0.349,9038,0.671,0.484,0.375,8490,0.817,7.09,10.28
2016,ECFR,Atlanta Hawks,4,Boston Celtics,2,Atlanta Hawks,0.458,0.35,8433,0.585,0.439,0.335,8669,0.585,3.49,2.84
2016,ECFR,Cleveland Cavaliers,4,Detroit Pistons,0,Cleveland Cavaliers,0.46,0.362,8555,0.695,0.439,0.345,8361,0.537,5.45,0.43
2016,ECFR,Miami Heat,4,Charlotte Hornets,3,Miami Heat,0.47,0.336,8204,0.585,0.439,0.362,8479,0.585,1.50,2.36
2016,ECFR,Toronto Raptors,4,Indiana Pacers,3,Toronto Raptors,0.451,0.37,8422,0.683,0.45,0.351,8377,0.549,4.08,1.62
2016,WCFR,Golden State Warriors,4,Houston Rockets,1,Golden State Warriors,0.487,0.416,9421,0.89,0.452,0.347,8737,0.5,10.38,0.34
2016,WCFR,Oklahoma City Thunder,4,Dallas Mavericks,1,Oklahoma City Thunder,0.476,0.349,9038,0.671,0.444,0.344,8388,0.512,7.09,-0.02
2016,WCFR,Portland Trail Blazers,4,LA Clippers,2,Portland Trail Blazers,0.45,0.37,8622,0.537,0.465,0.364,8569,0.646,0.98,4.13
2016,WCFR,San Antonio Spurs,4,Memphis Grizzlies,0,San Antonio Spurs,0.484,0.375,8490,0.817,0.44,0.331,8126,0.512,10.28,-2.14
2015,Finals,Golden State Warriors,4,Cleveland Cavaliers,2,Golden State Warriors,0.478,0.398,9016,0.817,0.458,0.367,8457,0.646,10.01,4.08
2015,ECF,Cleveland Cavaliers,4,Atlanta Hawks,0,Cleveland Cavaliers,0.458,0.367,8457,0.646,0.466,0.38,8409,0.732,4.08,4.75
2015,WCF,Golden State Warriors,4,Houston Rockets,1,Golden State Warriors,0.478,0.398,9016,0.817,0.444,0.348,8522,0.683,10.01,3.82
2015,ECS,Atlanta Hawks,4,Washington Wizards,2,Atlanta Hawks,0.466,0.38,8409,0.732,0.462,0.36,8080,0.561,4.75,0.17
2015,ECS,Cleveland Cavaliers,4,Chicago Bulls,2,Cleveland Cavaliers,0.458,0.367,8457,0.646,0.442,0.353,8265,0.61,4.08,2.54
2015,WCS,Golden State Warriors,4,Memphis Grizzlies,2,Golden State Warriors,0.478,0.398,9016,0.817,0.458,0.339,8062,0.671,10.01,3.62
2015,WCS,Houston Rockets,4,LA Clippers,3,Houston Rockets,0.444,0.348,8522,0.683,0.473,0.376,8751,0.683,3.82,6.80
2015,ECFR,Atlanta Hawks,4,Brooklyn Nets,2,Atlanta Hawks,0.466,0.38,8409,0.732,0.451,0.331,8038,0.463,4.75,-3.13
2015,ECFR,Chicago Bulls,4,Milwaukee Bucks,2,Chicago Bulls,0.442,0.353,8265,0.61,0.459,0.363,8023,0.5,2.54,-0.09
2015,ECFR,Cleveland Cavaliers,4,Boston Celtics,0,Cleveland Cavaliers,0.458,0.367,8457,0.646,0.443,0.327,8312,0.488,4.08,-0.40
2015,ECFR,Washington Wizards,4,Toronto Raptors,0,Washington Wizards,0.462,0.36,8080,0.561,0.455,0.352,8527,0.598,0.17,2.45
2015,WCFR,Golden State Warriors,4,New Orleans Pelicans,0,Golden State Warriors,0.478,0.398,9016,0.817,0.457,0.37,8147,0.549,10.01,1.13
2015,WCFR,Houston Rockets,4,Dallas Mavericks,1,Houston Rockets,0.444,0.348,8522,0.683,0.463,0.352,8628,0.61,3.82,3.36
2015,WCFR,LA Clippers,4,San Antonio Spurs,3,LA Clippers,0.473,0.376,8751,0.683,0.468,0.367,8461,0.671,6.80,6.34
2015,WCFR,Memphis Grizzlies,4,Portland Trail Blazers,1,Memphis Grizzlies,0.458,0.339,8062,0.671,0.45,0.362,8429,0.622,3.62,4.41
